TERM_ID,TXN_CCY_CODE,TRN_AMOUNT,TRN_DT
ABI0004,AFN,68500,4/1/2025
ABI0007,AFN,7000,4/1/2025
ABI0007,USD,0,4/1/2025
ABI0010,AFN,2000,4/1/2025
ABI0011,AFN,48000,4/1/2025
ABI0011,USD,0,4/1/2025
ABI0019,AFN,133000,4/1/2025
ABI0021,AFN,55000,4/1/2025
ABI0021,USD,0,4/1/2025
ABI0032,AFN,42500,4/1/2025
ABI0032,USD,0,4/1/2025
ABI0034,AFN,6000,4/1/2025
ABI0034,USD,500,4/1/2025
ABI0040,AFN,4000,4/1/2025
ABI0040,USD,4850,4/1/2025
ABI0041,AFN,16000,4/1/2025
ABI0042,AFN,31000,4/1/2025
ABI0043,USD,2050,4/1/2025
ABI0044,AFN,182500,4/1/2025
ABI0044,USD,0,4/1/2025
ABI0046,AFN,10000,4/1/2025
ABI0047,AFN,16500,4/1/2025
ABI0049,AFN,215000,4/1/2025
ABI0049,USD,0,4/1/2025
ABI0051,USD,300,4/1/2025
ABI0053,AFN,212000,4/1/2025
ABI0055,AFN,78000,4/1/2025
ABI0056,AFN,3000,4/1/2025
ABI0057,AFN,10500,4/1/2025
ABI0067,AFN,76000,4/1/2025
ABI0071,AFN,10000,4/1/2025
ABI0075,AFN,34500,4/1/2025
ABI0080,AFN,17000,4/1/2025
ABI0081,AFN,67000,4/1/2025
ABI0082,AFN,10000,4/1/2025
ABI0086,AFN,18500,4/1/2025
ABI0087,AFN,194000,4/1/2025
ABI0087,USD,0,4/1/2025
ABI0090,USD,1550,4/1/2025
ABI0093,AFN,25000,4/1/2025
ABI0095,AFN,117000,4/1/2025
ABI0098,AFN,85000,4/1/2025
ABI0099,AFN,42000,4/1/2025
ABI0099,USD,0,4/1/2025
ABI0100,AFN,250000,4/1/2025
ABI0100,USD,1200,4/1/2025
ABI0101,USD,400,4/1/2025
ABI0103,AFN,50000,4/1/2025
ABI0103,USD,0,4/1/2025
ABI0109,AFN,38500,4/1/2025
ABI0110,AFN,50000,4/1/2025
ABI0110,USD,0,4/1/2025
ABI0111,AFN,10000,4/1/2025
ABI0115,AFN,16000,4/1/2025
ABI0119,AFN,92000,4/1/2025
ABI0121,AFN,26000,4/1/2025
ABI0123,AFN,25500,4/1/2025
ABI0123,USD,200,4/1/2025
ABI0004,AFN,289500,4/2/2025
ABI0007,AFN,1000,4/2/2025
ABI0010,AFN,35500,4/2/2025
ABI0010,USD,0,4/2/2025
ABI0011,AFN,174500,4/2/2025
ABI0011,USD,0,4/2/2025
ABI0019,AFN,88000,4/2/2025
ABI0019,USD,0,4/2/2025
ABI0021,AFN,142000,4/2/2025
ABI0021,USD,0,4/2/2025
ABI0026,AFN,17500,4/2/2025
ABI0030,AFN,180000,4/2/2025
ABI0031,AFN,96000,4/2/2025
ABI0032,AFN,27000,4/2/2025
ABI0032,USD,0,4/2/2025
ABI0034,USD,1900,4/2/2025
ABI0040,AFN,46000,4/2/2025
ABI0040,USD,8900,4/2/2025
ABI0041,AFN,2000,4/2/2025
ABI0041,USD,0,4/2/2025
ABI0042,AFN,65000,4/2/2025
ABI0043,AFN,47000,4/2/2025
ABI0043,USD,7400,4/2/2025
ABI0044,AFN,333500,4/2/2025
ABI0045,AFN,30000,4/2/2025
ABI0046,AFN,10000,4/2/2025
ABI0047,AFN,42500,4/2/2025
ABI0049,AFN,141500,4/2/2025
ABI0053,AFN,140000,4/2/2025
ABI0053,USD,0,4/2/2025
ABI0055,AFN,274500,4/2/2025
ABI0055,USD,0,4/2/2025
ABI0056,AFN,117000,4/2/2025
ABI0057,AFN,127000,4/2/2025
ABI0063,AFN,9000,4/2/2025
ABI0067,AFN,51000,4/2/2025
ABI0071,AFN,2500,4/2/2025
ABI0075,AFN,7000,4/2/2025
ABI0075,USD,0,4/2/2025
ABI0080,AFN,27500,4/2/2025
ABI0081,AFN,33000,4/2/2025
ABI0081,USD,0,4/2/2025
ABI0082,AFN,34000,4/2/2025
ABI0086,AFN,9500,4/2/2025
ABI0086,USD,0,4/2/2025
ABI0087,AFN,53000,4/2/2025
ABI0090,USD,200,4/2/2025
ABI0093,AFN,62500,4/2/2025
